 time            v(src)          v(A)            v(ZN)           v(load)         psupply        
 4.00560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833418e-08 
 4.02560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833418e-08 
 4.04560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833416e-08 
 4.06560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833417e-08 
 4.08560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833417e-08 
 4.10560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833418e-08 
 4.12560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833418e-08 
 4.14560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833418e-08 
 4.16560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833418e-08 
 4.18560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833418e-08 
 4.20560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833418e-08 
 4.22560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833419e-08 
 4.24560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833418e-08 
 4.26560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833418e-08 
 4.28560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833418e-08 
 4.30560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833419e-08 
 4.32560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833418e-08 
 4.34560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833418e-08 
 4.36560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833418e-08 
 4.38560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833419e-08 
 4.40560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833418e-08 
 4.42560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833419e-08 
 4.44560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833419e-08 
 4.46560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833418e-08 
 4.48560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833420e-08 
 4.50560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833418e-08 
 4.52560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833418e-08 
 4.54560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833418e-08 
 4.56560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833418e-08 
 4.58560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833418e-08 
 4.60560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833418e-08 
 4.62560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833419e-08 
 4.64560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833420e-08 
 4.66560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833419e-08 
 4.68560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833420e-08 
 4.70560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833420e-08 
 4.72560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833420e-08 
 4.74560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833420e-08 
 4.76560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833419e-08 
